,text,likes,retweets,city,sentiment_analysis,url
32,@gouwala @tchadinfos It's the sovereign reserve,0,0,Chad,0.0,
33,"@Ndoubayo5 @anonymat97 Yes I do honey, it will be fine",2,0,Chad,0.5423,
34,Wadi Vera 💙 https://t.co/IdfnzaXg5F,1,0,Chad,0.0,https://t.co/IdfnzaXg5F
35,"#Chad there are those who enjoy life, with the money of the country and there are those who accompany them. 😉",0,0,N'djemena Tchad,0.4939,
36,Want to watch again 🥺🥺😍😍 The only heir to the Iron Throne. The Goat of my favorite series @Ben_Qanum @AbakarDoud @OUMARHAMADOUBR2 @mahamataliib6 https://t.co/dZr6wbbPQj,6,0,Chad,0.5106,https://t.co/dZr6wbbPQj
37,"There's a kind of spending you do until you're afraid to question your account balance 🥲🥲🥲! Your own account is starting to scare you! Hey life!
#life",6,0,Chad,-0.6219,
38,😍🙏🏾. https://t.co/gIzRtne9PY,0,0,Chad,0.0,https://t.co/gIzRtne9PY
39,"@fahadalahmdi @i3sand 7 Because if the seventh pipe is not full, the water can't go down to the next pipe",0,0,Chad,0.0,
40,"@ayoush_____ Unfortunately most people are complexed and difficult to understand that life is hard everywhere, ignore these types of questions and keep working and you will be right.",2,0,Chad,-0.7783,
41,Replying to @i3sand #7,1,0,Chad,0.0,
42,"Lol 🤣🤣🤣🤣🤣
Ekiée the world is going downright crazy bro, no today is another day too 😭😭😭😂😂😂😂😂😂 https://t.co/I3zKISNlrV",4,0,Chad,-0.2023,https://t.co/I3zKISNlrV
43,"@ayoub_haggar Merci Dr , okey inchallah ✌🏿🙏🏾",0,0,Chad,0.0,
44,@alikazekage Merci ✌🏿💪🏿🙏🏾,1,0,Chad,0.0,
45,"@sm_sylviemady Thank you my dear.
Ameen I believe it 🙏🏾",0,0,Chad,0.6249,
46,@Narciss05773574 Okey darling🥰🙏🏾,0,0,Chad,0.0,
47,"@amsadene Yep beautiful, thank you 💪🏿✌🏿❣️🙏🏾",0,0,Chad,0.8225,
48,"Ronaldinho
Ronaldo
Zidane
Figo
Henry
Beckham https://t.co/DPc6xzApQm",1,0,Chad,0.0,https://t.co/DPc6xzApQm
49,"Do you want to succeed?
💥👉 Look for the deeper meaning of:
1️⃣enthusiasm;
2️⃣be positive-minded;
3️⃣determination.

May God make you the best.
''🤲🤲🤲'' https://t.co/e0jOTuiWGp",0,0,N'Djamena,0.8689,https://t.co/e0jOTuiWGp
50,https://t.co/noad262sfz,0,0,Farcha II P.P.,0.0,https://t.co/noad262sfz
51,Pray to your lord before we pray for you.,3,0,Chad,0.5574,
52,"@Pamguebienvenu @zyzy_el @tecnomobile Ce sera: 
- photo by @tecnomobile
- Tweet for iPhone",3,0,Chad,0.0,
53,@Pamguebienvenu @zyzy_el @tecnomobile We captured and we only keep... Appointment is taken,1,0,Chad,0.0,
54,"@Pamguebienvenu @zyzy_el @tecnomobile So ""Twitter for iPhone"" will disappear ambassador? 😂😂😂😂😂😂",4,0,Chad,-0.2263,
55,"@Pamguebienvenu @tecnomobile So you're going to stop ""Tweet by iPhone""? 😏",2,0,Chad,-0.296,
56,"The #BETAwards don't ultimately manage French-speaking Africa, huh? We just have to infiltrate music victories 😅😅😅😅😅😅 https://t.co/BPWr3hnoLQ",2,1,Chad,0.0,https://t.co/BPWr3hnoLQ
57,"I will satisfy him with long days, And I will show him my salvation.

Psalms 91:16",2,0,Chad,0.4588,
58,https://t.co/Bce29VyQGa,3,0,Chad,0.0,https://t.co/Bce29VyQGa
59,I say no to violence against men 😭😭😭😂😂😂😂 https://t.co/pEzb9BVTiB,1,0,Chad,-0.743,https://t.co/pEzb9BVTiB
60,Allahouma amin ya rab 🤲🤲🤲 https://t.co/qeYpUz9Vrn,0,0,Chad,0.0,https://t.co/qeYpUz9Vrn
61,Try until you get there.,4,0,Chad,0.0,
62,"#Grace❤🙏🏾.

Pleasant week!",1,0,Chad,0.5562,
63,"New working week...
#MondayMood https://t.co/8Q6upeSpkO",14,0,Chad,0.0,https://t.co/8Q6upeSpkO
64,"THIS IS ALPHA ♻️: SOLDIER DOWN, I REPEAT SOLDIER DOWN. NEED EMERGENCY EVACUATION. ENDED....!! 😭😭😂😂😂 @Ben_Qanum @AbakarDoud @OUMARHAMADOUBR2 @Mahamatabakar62 @mahamataliib6 @mouminekellehi @AdoutAdam https://t.co/IfQshyiWwN",8,0,Chad,-0.6016,https://t.co/IfQshyiWwN
65,Hellooooooo…we start the week with this playlist. Pleasant start to the week to you and see you at 12:10 on your radio (RNT - Canal + 537 - FM 94.5 MHz) for your show Keep listening 🎤📻🎧🔊📞🎵🎼🎶🇷🇴 https://t. co/jjbcUZGtqA,0,0,Chad,0.5106,https://t.
66,@Didibofficial Hey God what's GAME of??,0,0,Chad,0.3527,
67,"@FatouLettres Thank you my dear, yes it will be fine soon, I believe in it.
❣️💪🏿🙏🏾",4,1,Chad,0.8225,
68,@nahardoo Thank you beautiful. I won't miss,1,0,Chad,0.781,
69,"@Alpachino_stark Alright honey, believe me it will be fine. Every day I try to get better. kisses",1,0,Chad,0.8402,
70,@Alpachino_stark Thank you my treasure ✌🏿❤️,1,0,Chad,0.5719,
71,"@anonymat97 Thank you, that's what's recommended, but I can't drink water and when it does, I often wake up with my feet paralyzed, it takes hours for me to stand up.",2,0,Chad,0.2846,
72,"Ya Allah, deprive our hearts of any invasion and influence of the Devil.",10,0,Chad,-0.8176,
73,"I was born to be a billionaire. Nothing can stop me from reaching the goal.
𝚙𝚎𝚗𝚜𝚎́𝚎 𝚙𝚘𝚜𝚒𝚝𝚒𝚟𝚎 https://t.co/PiYmt3JQx8",0,0,Chad,0.3995,https://t.co/PiYmt3JQx8
74,@PabameC Thank you darling ❣️,1,0,Chad,0.743,
75,"The key to survival whether on land or on the sea is to continue to fight at all costs despite the obstacles, from the moment you drop you are dead.",1,0,Chad,-0.7793,
76,"Renal failure
A silent killer.
I live with this disease but one day it will be fine.",32,0,Chad,-0.3818,
77,"Even ""3022"" is amazed deh 😂😂 https://t.co/7BgYQOPOmg",1,0,Chad,0.4939,https://t.co/7BgYQOPOmg
78,"Welcome to Koundoul, a small town located 25 km south of N'Djamena, with love 🇹🇩❤️🍀🥰😮‍💨🥺
#chad #adjib https://t.co/gCosZmwlek",90,17,Chad,0.802,https://t.co/gCosZmwlek
79,"O Lord! Forgive me all my sins, the most benign as the most serious, the first as the last, those committed in public and those committed in secret. »

Good night believers and non-believers",0,0,Chad,0.7574,
80,"The development of a country is done by the social equality of citizens, and the management of public goods with transparency.",0,0,Chad,0.0,
81,We are tired of blaming Africa for starvation while it is in crisis there.,0,0,Chad,-0.8807,
82,"Who wants peace prepares for war.
If Ukraine can't offend Russia, let it stoop.
The encouragement of others does not justify anything. The only solution is Ukraine.",0,0,Chad,0.6796,
83,Everything has its antidote.,0,0,Chad,0.0,
84,@Hopker Sociology,0,0,Chad,0.0,
85,A guy has champagne in prison when I hit Essos for a year without seeing a drop of water flowing from my tap 😥😥😥😥😥 https://t.co/AmiWFZtocP,2,1,Chad,-0.0736,https://t.co/AmiWFZtocP
86,A will from me to you https://t.co/1kNPqYM2DD,0,0,Chad,0.0,https://t.co/1kNPqYM2DD
87,@SudohW Cool! I will see with you when the time comes. I'm a PC gamer so it's PC accessories that I want,1,0,Chad,0.4389,
88,@AnniePayep Samuel Mbonjock surely victim of hypersardinavia 😅😅😅😅,0,0,Chad,0.2023,
89,@SudohW Anyway it's in my December order,1,0,Chad,0.0,
90,@HGazzala If you leave your country for another don't forget that where you leave the same one has the same problem as that of your country.,1,0,Chad,-0.3472,
91,@SudohW Where do we find this?,1,0,Chad,0.0,
92,@If you are going to http://t.ke/sjjxzfnb,1,0,Chad,0.0,http://t.ke/sjjxzfnb
93,African leaders who defend the good of their country are betrayed by their relatives.ex: Burkina (1987),0,0,Chad,-0.2732,
94,@kadyissa Feedback? Is it reliable?,1,0,Chad,0.0,
95,Often the nearest is always the bearer of the venom that will harm you later.,0,0,Chad,-0.5423,
96,"@zyzy_el @Pamguebienvenu @mahayadinette @tchadinfos @SikataNguemta If you find better, tell me 😅",1,0,Chad,0.4404,
97,Who has already bought on #Aliexpress and #Alibaba please?,1,0,Chad,0.3182,
98,@zyzy_el @Pamguebienvenu @mahayadinette @tchadinfos @SikataNguemta Juntleman = man of the joint ✍🏽,3,1,Chad,0.0,
99,@lilcyprien @ThierryLeTH Masterclass,3,0,Chad,0.0,
100,@ThierryLeTH Triangular trade,2,0,Chad,0.0,
101,We're going there to totally surprise them 🏃‍♂️🏃‍♂️😂😂😂 https://t.co/LuiAFmOYkf,2,0,Chad,0.3384,https://t.co/LuiAFmOYkf
102,@Maddoc @rissassassirere @ asnlafanuL ೧ tenups: //t.co/ed's ೭ szahbred,2,0,Chad,0.0,
103,"But indeed Asseyda 😄😄😄, if you have the means and can manage them equally well. Better than going for the Haram outside. Or you don't agree with me Sista....!! https://t.co/sAw8PR50to",2,0,Chad,0.5383,https://t.co/sAw8PR50to
104,"The taste of it with Bae 😭😭😭😅😅
@Ben_Qanum @AbakarDoud @Appletchadian1 @Adro_Mo @_iamfathi @mahamataliib6 https://t.co/WYHWcI6KBv",9,0,Chad,0.0,https://t.co/WYHWcI6KBv
105,"Hummm, America me 😅😅🤧
And you bro @Ben_Qanum @AbakarDoud @Appletchadian1 https://t.co/ngkh7J5JB3",3,0,Chad,0.0,https://t.co/ngkh7J5JB3
106,@mamadou @RaissaKassire @AsnalPhanuel1 His arrest had been worthy of a 24-hour scenario with exchanges of fire with his close guard,3,0,Chad,-0.2263,
107,@mamadou @RaissaKassire @AsnalPhanuel1 For the 200 billion it's true 😅😅😅😅,3,1,Chad,0.4215,
108,@gouwala But before marketing a food product like water there are no approvals and controls to pass?,0,0,Chad,0.0772,
109,@gouwala To Absurdikistan apparently,0,0,Chad,0.0,
110,I don't understand how water can end up on the market and sold on a large scale without any quality control behind it. The first sip of this water I spat it out straight https://t.co/CD3rfJsiuH,1,0,Chad,0.2263,https://t.co/CD3rfJsiuH
111,"@sm_sylviemady ""C'est Bon"" is not good. It leaves an aftertaste in the mouth that reminds us of ""Lyfe"" or ""Excel"" in its infancy.",1,0,Chad,-0.3412,
112,"Elsewhere, a guy is taking notes ✍🏽 https://t.co/i4JAwWu6BZ",1,0,Chad,0.0,https://t.co/i4JAwWu6BZ
113,"When it's beyond you, you have to pray, don't cry.",1,0,Chad,0.5932,
114,@Kadi__lova and @Fatimazamzam8 give her an answer please 😄😄😄 https://t.co/q0PsPP5cD1,0,0,Chad,0.3182,https://t.co/q0PsPP5cD1
115,My heart is full of love😍.,0,0,Chad,0.0,
116,Ah yeah brother 👌👌👌 https://t.co/TRGskJCPUc,1,1,Chad,0.296,https://t.co/TRGskJCPUc
117,"@Culers235 Proverb da doesn't apply to Chad lol...
fata da profit? lol",0,0,Chad,0.6908,
118,"2022 no🙌🏾😭,

Taught me patience itself...in every sense of the word.",0,0,Chad,0.0,
119,"When you tell yourself that it's bad on your side, think of the others who, it's not going at all but still they are patient and don't lose confidence in their creator Allah (May he be magnified).

Alhmdlilah ala kulli hal",0,0,Chad,-0.4434,
120,"Keep calm, God is in control.",0,0,Chad,0.5267,
121,Prayer is addressed to God.,0,0,Chad,0.2732,
122,Very nice song even if the clip is not up to the song https://t.co/isTuvjO5bR,2,0,Chad,0.4754,https://t.co/isTuvjO5bR
123,@AJArabic they are lies and falsehood they are every incident of violence they attribute to Islam to distort Islam only,0,0,Chad,-0.8481,
124,@IdHakima,1,0,Chad,0.0,
125,@IdHakima Same also I vx osi 😪,1,0,Chad,0.0,
126,@IdHakima Tu vx plus bcp,1,0,Chad,0.0,
127,@mamadou @Ebreyim_Moura @jaw_haraa @tchadinfos I'll explain to you in DM,0,0,Chad,0.0,
128,@IdHakima @RaissaKassire It's just a proverb 😢😢,1,0,Chad,0.0,
129,"@DFakolne Artists can't even manage to exploit 30% of the more accessible Talino Manu space, what would the January 15 palace be for artists?",2,0,Chad,-0.1027,
130,I finally saw #DoctorStrange The Multiverse of Madness... Seriously it's more Wanda's movie than Dr Strange's 🫤🫤🫤🫤🫤.,2,0,Chad,-0.1779,
131,Hello everyone,0,0,Chad,0.0,
132,@Fatimazamzam8 Amen🤲,0,0,Chad,0.0,
133,"The framework of Medicine is Biology ✍.

""Medicine without biology is totally blind.""

Proud to be a Biologist ❤, and your health is my top priority!

Special mention to all my dear teachers 🙏! https://t.co/Rh3F4FW4SC",1,0,Chad,0.8768,https://t.co/Rh3F4FW4SC
134,"@RaissaKassire At the beginning it excites at the end its annoys

Right now motorcycle is sweet 😂😂😂",1,0,Chad,0.5106,
135,@ Fatimazamzam8 Assayda dardagti ko 😂😂😂,1,0,Chad,0.0,
136,@IdHakima Merci 🥰🥰🥰,1,0,Chad,0.0,
137,@Ebreyim_Moura There is no nass democracy,1,0,Chad,-0.296,
138,https://t.co/IOWx6RZYKc,5,0,Chad,0.0,https://t.co/IOWx6RZYKc
139,@IdHakima Please allh leki😢,1,0,Chad,0.3182,
140,"I present this to you.
https://t.co/2RHx62uhzv",1,0,Chad,0.0,https://t.co/2RHx62uhzv
141,https://t.co/YQDbWrxoij,3,0,Chad,0.0,https://t.co/YQDbWrxoij
142,https://t.co/L1Sioj4jK1,13,0,Chad,0.0,https://t.co/L1Sioj4jK1
143,@Ebreyim_Moura @jaw_haraa @tchadinfos @mamadou Fatouchou lekou amusement akhar koula akher 😏,1,0,Chad,0.3612,
144,🚶‍♂️🚶‍♂️🚶‍♂️ https://t.co/yAM6J5hEPN,1,0,Chad,0.0,https://t.co/yAM6J5hEPN
145,"The taste of it
#Chad https://t.co/20haBoDULe",1,0,Chad,0.0,https://t.co/20haBoDULe
146,#chad https://t.co/93TMBayxph,1,0,Chad,0.0,https://t.co/93TMBayxph
147,"🇹🇩 Chad

Capital: N'Djamena

Region: Sub-Saharan Africa

Credit:
https://t.co/7CQIxCX9Br
https://t.co/zLBFKlYiSi
https://t.co/2fVAgr9cGL https://t.co/1yrRfGYUeY",0,0,Chad,0.3818,https://t.co/7CQIxCX9Br
148,@Jeunede10 But it's not free,0,0,Chad,-0.4023,
149,#T_G_Chic #Wellness https://t.co/XlMzRiqoOf,0,0,Chad,0.0,https://t.co/XlMzRiqoOf
150,#T_G_Chic #Wellness https://t.co/cpdjDVMHVy,0,0,Chad,0.0,https://t.co/cpdjDVMHVy
151,#T_G_Chic #Wellness https://t.co/F14fQ43jjv,0,0,Chad,0.0,https://t.co/F14fQ43jjv
152,#T_G_Chic #Wellness https://t.co/KfH7mITTFd,0,0,Chad,0.0,https://t.co/KfH7mITTFd
153,#T_G_Chic✨️ #Wellness https://t.co/gbwmOyU2tG,0,0,Chad,0.0,https://t.co/gbwmOyU2tG
154,#T_G_Chic #Wellness https://t.co/ZTbKLP7oTx,0,0,Chad,0.0,https://t.co/ZTbKLP7oTx
155,#T_G_Chic #Wellness https://t.co/fJMGwhCVjy,0,0,Chad,0.0,https://t.co/fJMGwhCVjy
156,https://t.co/A45vu6e2YE,0,0,Chad,0.0,https://t.co/A45vu6e2YE
157,"# 45774
Barh Signaka, Chad
map: https://t.co/DKvCDmkWHI https://t.co/Iic0AFy6on",1,1,Chad,0.0,https://t.co/DKvCDmkWHI
158,Just posted a photo @ Summertime https://t.co/yqNZuwJaMD,0,0,Chad,0.0,https://t.co/yqNZuwJaMD
159,Agent bounda 😄 oklm https://t.co/16JH6Ex4mj,1,0,Chad,0.0,https://t.co/16JH6Ex4mj
160,@If you are tbbs http://t.k/bklfarfar,1,0,Chad,0.0,http://t.k/bklfarfar
161,"@Hawa_bechir My dear a little,unpx you will understand.",1,0,Chad,0.3818,
162,Someone's sweaty watba 🥵 https://t.co/7QAbmcbh8Z,3,0,Chad,0.0,https://t.co/7QAbmcbh8Z
163,"25.6.2022

Maybe life could be happier if you lowered your expectations～ https://t.co/98iVXVN9yl",0,0,Chad,0.4404,https://t.co/98iVXVN9yl
164,@Ebreyim_Moura @tchadinfos We invite celebrities al mariguine. Not the goth strangers 😄,4,0,Chad,0.1531,
165,@tchadinfos 🤣🤣🤣😅😅😅 I'm not marriageable 🤣,0,0,Chad,0.0,
166,"The Chadians are too tolerant of rapists and pedophiles. We never see how many girls and boys suffer because of them. In addition, there are a lot of parents who refuse to trust their children, they prefer blind trust in the Malbourik group centered on their own children.",9,1,Chad,-0.6124,
167,"10:11 on Friday June 24th, over Chad https://t.co/n9E0TQaMCE",26,8,Chad,0.0,https://t.co/n9E0TQaMCE
168,@Davidson_Bassit 😅,1,0,Hilton,0.0,
169,"I am a feminist and I will carry this ideology to my grave and where I will be I will repeat that women are human beings.
Drum of Silence 🔥",28,3,Chad,-0.3818,
170,Let's cry 😭😭😭 https://t.co/y0EJTboZMU,0,0,Chad,-0.4767,https://t.co/y0EJTboZMU
171,🇷🇴 your douaa my dear brothers and sisters I'm traveling to sudan 🇰🇼,0,0,N'Djamena International Airport (NDJ),0.3818,
172,I don't like chad wallahi. https://t.co/O9t1wSyBuA,1,0,Chad,-0.2755,https://t.co/O9t1wSyBuA
173,"@GmahamatIdi Pcmt solve the food problem for us. It's too much, sugar coro at 3000frs look at it.",1,0,Chad,-0.2263,
174,"@AhmedAbdall7h @YasmeenAlnhass Hey brat, where did you get it from?",0,0,Chad,0.0,
175,"25 juin 2009 - 25 juin 2022
Rest in Pop The King MJ 👑
#MichaelJackson https://t.co/45RKittEG6",3,0,Chad,0.0,https://t.co/45RKittEG6
176,"If God forgives, who are we not to forgive?",0,0,Chad,0.4563,
177,"If God forgives, who are we not to forgive?",1,0,Chad,0.4563,
178,"PRESS RELEASE FROM THE MINISTRY OF FINANCE AND BUDGET.

THE TRUTH SPRINGS OUT OF ITSELF!

by an official press release, has just enlightened public opinion on the non-involvement of the Minister @TahirHamidN, who is neither remotely nor closely concerned by the SHT affair. https://t.co/s29Vuyz264",2,0,N'djemena Tchad,0.7597,https://t.co/s29Vuyz264
179,"#Cameroon soon I'm coming ✨🪂

#Cameroon
#douala",0,0,Chad,0.0,
180,"☀️ Sun N'djamena 🛖

#ndjamena
#motivation_days https://t.co/erwPBVv4AU",0,0,Chad,0.0,https://t.co/erwPBVv4AU
181,Chad has a JUSTICE problem.,7,1,Chad,0.347,
182,https://t.co/k3Oh9Mvwhz,5,1,Chad,0.0,https://t.co/k3Oh9Mvwhz
183,"I will carry this ideology to my grave and where I will be I will just repeat that women are human beings.
Chad has a justice problem.
@BIYinitiative
https://t.co/mS8sHtlVa8
#Togetherwecan
#acratchad
#vigilante
#drumsilence https://t.co/WE9kPg6sdD",17,2,Chad,-0.2263,https://t.co/mS8sHtlVa8
184,@HadjeKach @alwihdainfo May his soul rest in peace,0,0,Chad,0.5423,
185,@NaharTorbo Let's see what happens. I hope there will be fairness.,0,0,Chad,0.4404,
186,"as entrepreneurship and agriculture are suggested to us, and to start from scratch it is not possible, we are content with what we can do. https://t.co/ZXmaHBEbRb",1,0,Chad,0.0,https://t.co/ZXmaHBEbRb
187,Trust in God success 🗨,0,0,Chad,0.8442,
188,Travel to see the splendor of the universe and the beauty of life 💛,1,0,Chad,0.8316,
189,#chad https://t.co/zYoY8nrwd4,64,3,Chad,0.0,https://t.co/zYoY8nrwd4
190,@HadjeKach @alwihdainfo He is no more,1,0,Chad,-0.296,
191,https://t.co/EbCiM9WOSu,0,0,Chad,0.0,https://t.co/EbCiM9WOSu
192,"@mahayadinette I think it's not given to everyone to steal such a sum. If you see that the gentleman is not even worried, it is due to his rank. If a poor man allows himself to steal a large sum he will be dragged through the mud and his name will be soiled.",2,0,Chad,-0.8322,
193,@Adro_Mo legends recognize each other 😁,1,0,Chad,0.0,
194,@v_remadji @deuhb @Mahmoudaliseid @Achta_M_Saleh @sm_sylviemady @adelph36 @zyzy_el @BIYinitiative @Pamguebienvenu @AZusanne @MissTdy @SaoMagazine @ETaN_td He said he's leaving the sportsman not that it's closing up shop,2,0,Chad,0.0,
195,Toyota https://t.co/rTZBNn3Qhi,0,0,Chad,0.0,https://t.co/rTZBNn3Qhi
196,"@AhmedAbdall7h @YasmeenAlnhass hahahahahahahahahahahaha
Sometimes you get at the mechanics
The oil filter is from the forces of enthusiasm
 And there is no way to buy the cup and they do
Mix it up and make it into a cup of drinking water
natural 😂😂😂
We made from water every living thing",0,1,Chad,0.4939,
197,@mobashernewss the nature of smugglers in the south,0,0,Chad,-0.34,
198,@AlarabyTV @youssef_hussen,0,0,Chad,0.0,
199,✔ https://t.co/OITvlupV9U,0,0,Chad,0.0,https://t.co/OITvlupV9U
200,"All the people need a revolt.
""To revolt against tyranny is to obey God"" CDG
#Chad https://t.co/7hTnJcSNBB",5,0,Chad,0.2732,https://t.co/7hTnJcSNBB
201,A door closes and another opens... Bon vent @deuhb https://t.co/NcNsmTDIOH,3,0,Chad,0.0,https://t.co/NcNsmTDIOH
202,"@bkrysudani oh my god have mercy on me
And it is connected to the Nile Street, the most important thing",0,0,Chad,0.6901,
203,@AbdHss6 @bkrysudani you are so rude!,0,0,Chad,-0.632,
204,@veronica_mlle Keep faith ma dearest... 🙏🏼🙏🏼🙏🏼🙏🏼,1,0,Chad,0.4215,
205,Know that your life can change overnight 😰.,7,1,Chad,0.0,
206,@Adro_Mo 0,0,0,Chad,0.0,
207,"""Be less talkative, ignore a lot, be happy.""
« Soyez un peu bavard, trop ignoré, heureux»",2,0,N'djemena Tchad,-0.3008,
208,"#chad 🇹🇩
Abdul Rahman Kalam Allah: ""There was an investigation that uncovered embezzlement at the border committee level. These embezzlement led to a possible embezzlement of 13 billion CFA francs to be exact.""
#info https://t.co/yLQb1hyy8H",0,0,Chad,0.0,https://t.co/yLQb1hyy8H
209,"Cultivate in your children three qualities: the love of your Prophet, the love of his Family and the reading of the Koran.",3,0,Chad,0.8555,
210,எத்தனைHRajaBJP How many people are from this northern state? Zalra did not know anything,0,0,Chad,0.0,
211,Good morning https://t.co/AscE0tiBdm,0,0,Chad,0.4404,https://t.co/AscE0tiBdm
212,#Chad🇹🇩 https://t.co/bLbUa2rxlk,34,3,Chad,0.0,https://t.co/bLbUa2rxlk
213,https://t.co/KV5VKzf7X7,0,0,Chad,0.0,https://t.co/KV5VKzf7X7
214,"I am convinced that the cockroach is a creature that comes straight from hell, especially when it flies away.",1,0,Chad,-0.25,
215,@EmmanuelMacron 🇹🇩✌️,0,0,Chad,0.0,
216,@Hassan_fale I'm holding back anyway,1,0,Chad,0.0,
217,"@alwihdainfo This song, we heard it. We want concrete people at the head of our institutions so that they are strong. No cancer patients in our recipes.",0,0,Chad,-0.4588,
218,"Meeting this evening with H5 Academy on the subject of peaceful cohabitation and living together, This country is our favorite country so we must welcome peace and peaceful cohabitation, living together among us young people. https://t.co/mNWAo4wsb5",19,1,Chad,0.9448,https://t.co/mNWAo4wsb5
219,"@j_florezh @munyao_keziah @databarometer @naticarfi @CourtneyTolmie @opendatacharter @ldriafrica @ildalatam @GlobalIntegrity @OpenGovHub @D4Dnetwork @opencontracting @OpenOwnership @anticorruption A great initiative, I hope you can share the recording ⏺️ 🎤🎥",2,0,Chad,0.8481,
220,"Moment #Casser_la_baraque ⚒️ 🔥

This Sunday, June 26, 2022 on the side of #Afrotopia - N'Djamena from 5 p.m.
Find the Messi Rapper #HPSeven 💪
And #Dj @FinaSozo will be there!
We take the family

#BuzzMastersWar 👌 https://t.co/SGuCSI3ryE",1,0,Chad,0.0,https://t.co/SGuCSI3ryE
221,@FirstMagLeVrai N'Djamena,0,0,Chad,0.0,
